0,1.0,16,16.0,6.0,6.0
1,1.0,18,17.0,8.0,7.0
2,1.0,29,21.0,19.0,11.0
3,1.0,9,18.0,-1.0,8.0
4,1.0,35,21.4,25.0,11.4
5,1.0,11,19.666666666666668,1.0,9.666666666666666
6,1.0,16,19.142857142857142,6.0,9.142857142857142
7,1.0,65,24.875,55.0,14.875
8,1.0,14,23.666666666666668,4.0,13.666666666666666
9,1.0,16,22.9,6.0,12.9
10,1.0,15,22.181818181818183,5.0,12.181818181818182
11,1.0,18,21.833333333333332,8.0,11.833333333333334
12,1.0,15,21.307692307692307,5.0,11.307692307692308
13,1.0,17,21.0,7.0,11.0
14,1.0,16,20.666666666666668,6.0,10.666666666666666
15,1.0,43,22.0625,33.0,12.0625
16,1.0,16,21.705882352941178,6.0,11.705882352941176
17,1.0,13,21.22222222222222,3.0,11.222222222222221
18,1.0,14,20.842105263157894,4.0,10.842105263157896
19,1.0,21,20.85,11.0,10.85
20,1.0,23,20.952380952380953,13.0,10.952380952380953
21,1.0,14,20.636363636363637,4.0,10.636363636363637
22,1.0,34,21.217391304347824,24.0,11.217391304347826
23,1.0,19,21.125,9.0,11.125
24,1.0,28,21.4,18.0,11.4
25,1.0,18,21.26923076923077,8.0,11.26923076923077
26,1.0,36,21.814814814814813,26.0,11.814814814814815
27,1.0,20,21.75,10.0,11.75
28,1.0,18,21.620689655172413,8.0,11.620689655172415
29,1.0,16,21.433333333333334,6.0,11.433333333333334
30,1.0,14,21.193548387096776,4.0,11.193548387096774
31,1.0,13,20.9375,3.0,10.9375
32,1.0,20,20.90909090909091,10.0,10.909090909090908
33,1.0,29,21.147058823529413,19.0,11.147058823529411
34,1.0,19,21.085714285714285,9.0,11.085714285714285
35,1.0,21,21.083333333333332,11.0,11.083333333333334
36,1.0,25,21.18918918918919,15.0,11.18918918918919
37,1.0,8,20.842105263157894,-2.0,10.842105263157896
38,1.0,9,20.53846153846154,-1.0,10.538461538461538
39,1.0,45,21.15,35.0,11.15
40,1.0,23,21.195121951219512,13.0,11.195121951219512
41,1.0,13,21.0,3.0,11.0
